Leeftijd,Mannen,Vrouwen
100 jaar en meer,164,829
95-99 jaar,3240,10070
90-94 jaar,17571,39158
85-89 jaar,51806,86171
80-84 jaar,87592,118510
75-79 jaar,109977,129427
70-74 jaar,158846,171121
65-69 jaar,183975,189074
60-64 jaar,217265,217561
55-59 jaar,242367,238119
50-54 jaar,236679,229304
45-49 jaar,219605,215211
40-44 jaar,210129,207892
35-39 jaar,212425,211663
30-34 jaar,203767,203511
25-29 jaar,205751,202637
20-24 jaar,189270,182458
15-19 jaar,178959,169821
10-14 jaar,191162,182110
5-9 jaar,189138,180419
Minder dan 5 jaar,170810,163579